,model,phase_strategy,bias,threshold,lr,avg_error,trained_weights,initial_weights,neuron_outputs
0,phase-encoding,radius,False,0.1,0.02,0.5,"[0.132876831868881, 0.8364873347350384]","[0.07630828937395717, 0.7799187922401146]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1,phase-encoding,radius,True,0.1,0.02,0.45,"[1.0096892405402003, 1.7132997434063548, 2.320000000000001, 1.3455751918948777]","[0.07630828937395717, 0.7799187922401146]","[1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
2,phase-encoding,radius,False,0.1,0.1,0.5,"[0.35915100184857623, 1.0627615047147336]","[0.07630828937395717, 0.7799187922401146]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
3,phase-encoding,radius,True,0.1,0.1,0.5,"[0.35915100184857623, 1.0627615047147336, 1.4, 1.10471975511966]","[0.07630828937395717, 0.7799187922401146]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
4,phase-encoding,radius,False,0.3,0.02,0.5,"[0.132876831868881, 0.8364873347350384]","[0.07630828937395717, 0.7799187922401146]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
5,phase-encoding,radius,True,0.3,0.02,0.5,"[0.132876831868881, 0.8364873347350384, 1.08, 1.020943951023932]","[0.07630828937395717, 0.7799187922401146]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
6,phase-encoding,radius,False,0.3,0.1,0.5,"[0.35915100184857623, 1.0627615047147336]","[0.07630828937395717, 0.7799187922401146]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
7,phase-encoding,radius,True,0.3,0.1,0.5,"[0.35915100184857623, 1.0627615047147336, 1.4, 1.10471975511966]","[0.07630828937395717, 0.7799187922401146]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
8,phase-encoding,radius,False,0.5,0.02,0.5,"[0.07630828937395717, 0.7799187922401146]","[0.07630828937395717, 0.7799187922401146]","[0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0]"
9,phase-encoding,radius,True,0.5,0.02,0.3,"[0.7268465280655811, 1.4304570309317368, 1.9200000000000008, 1.2408554367752178]","[0.07630828937395717, 0.7799187922401146]","[1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1]"
10,phase-encoding,radius,False,0.5,0.1,0.5,"[0.07630828937395717, 0.7799187922401146]","[0.07630828937395717, 0.7799187922401146]","[0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0]"
11,phase-encoding,radius,True,0.5,0.1,0.5,"[0.35915100184857623, 1.0627615047147336, 1.4, 1.10471975511966]","[0.07630828937395717, 0.7799187922401146]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
12,phase-encoding,radius,False,0.7,0.02,0.5,"[0.07630828937395717, 0.7799187922401146]","[0.07630828937395717, 0.7799187922401146]","[0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0]"
13,phase-encoding,radius,True,0.7,0.02,0.5,"[0.132876831868881, 0.8364873347350384, 1.08, 1.020943951023932]","[0.07630828937395717, 0.7799187922401146]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
14,phase-encoding,radius,False,0.7,0.1,0.5,"[0.07630828937395717, 0.7799187922401146]","[0.07630828937395717, 0.7799187922401146]","[0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0]"
15,phase-encoding,radius,True,0.7,0.1,0.5,"[0.35915100184857623, 1.0627615047147336, 1.4, 1.10471975511966]","[0.07630828937395717, 0.7799187922401146]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
16,phase-encoding,radius,False,0.8,0.02,0.5,"[0.07630828937395717, 0.7799187922401146]","[0.07630828937395717, 0.7799187922401146]","[0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0]"
17,phase-encoding,radius,True,0.8,0.02,0.5,"[0.132876831868881, 0.8364873347350384, 1.08, 1.020943951023932]","[0.07630828937395717, 0.7799187922401146]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
18,phase-encoding,radius,False,0.8,0.1,0.5,"[0.07630828937395717, 0.7799187922401146]","[0.07630828937395717, 0.7799187922401146]","[0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0]"
