,model,phase_strategy,bias,threshold,lr,initial_weights,neuron_outputs
0,Encoding,original,False,0.1,0.02,"[0.39676747423066994, 0.538816734003357]","[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
1,Encoding,original,True,0.1,0.02,"[0.39676747423066994, 0.538816734003357]","[0.1116943359375, 0.0950927734375, 0.8902587890625, 0.093017578125, 0.109130859375, 0.09521484375, 0.8973388671875, 0.0921630859375, 0.1046142578125, 0.092041015625, 0.89892578125, 0.0938720703125, 0.10498046875, 0.102783203125, 0.8912353515625, 0.093505859375, 0.1080322265625, 0.09716796875, 0.8995361328125, 0.09619140625]"
2,Encoding,original,False,0.1,0.1,"[0.39676747423066994, 0.538816734003357]","[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
3,Encoding,original,True,0.1,0.1,"[0.39676747423066994, 0.538816734003357]","[0.21240234375, 0.0498046875, 0.7900390625, 0.0467529296875, 0.208251953125, 0.047607421875, 0.794921875, 0.05029296875, 0.2080078125, 0.0462646484375, 0.79150390625, 0.0487060546875, 0.2025146484375, 0.04833984375, 0.7991943359375, 0.04541015625, 0.20654296875, 0.0443115234375, 0.790771484375, 0.0458984375]"
4,Encoding,original,False,0.3,0.02,"[0.39676747423066994, 0.538816734003357]","[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
5,Encoding,original,True,0.3,0.02,"[0.39676747423066994, 0.538816734003357]","[0.3326416015625, 0.0142822265625, 0.6668701171875, 0.015380859375, 0.328125, 0.0179443359375, 0.6771240234375, 0.0126953125, 0.3243408203125, 0.0155029296875, 0.6634521484375, 0.0147705078125, 0.322021484375, 0.0133056640625, 0.668701171875, 0.01318359375, 0.325439453125, 0.015869140625, 0.662841796875, 0.0157470703125]"
6,Encoding,original,False,0.3,0.1,"[0.39676747423066994, 0.538816734003357]","[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
7,Encoding,original,True,0.3,0.1,"[0.39676747423066994, 0.538816734003357]","[0.3524169921875, 0.013427734375, 0.6510009765625, 0.010498046875, 0.34033203125, 0.012939453125, 0.6591796875, 0.009765625, 0.349365234375, 0.0103759765625, 0.6458740234375, 0.013427734375, 0.3489990234375, 0.0128173828125, 0.655029296875, 0.0120849609375, 0.3514404296875, 0.0108642578125, 0.65869140625, 0.0130615234375]"
8,Encoding,original,False,0.5,0.02,"[0.39676747423066994, 0.538816734003357]","[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
9,Encoding,original,True,0.5,0.02,"[0.39676747423066994, 0.538816734003357]","[0.4254150390625, 0.00341796875, 0.584228515625, 0.003173828125, 0.4248046875, 0.003662109375, 0.57470703125, 0.0023193359375, 0.4193115234375, 0.0032958984375, 0.5736083984375, 0.00390625, 0.42138671875, 0.0035400390625, 0.588134765625, 0.00390625, 0.4200439453125, 0.0029296875, 0.5853271484375, 0.0047607421875]"
