Unnamed: 0,model,phase_strategy,threshold,bias,lr,initial_weights,neuron_outputs
0,HSGS,original,0.3,False,0.02,0.6343798686338388,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
1,HSGS,original,0.3,True,0.02,0.6343798686338388,"[0.0, 0.2476806640625, 1.0, 0.252197265625, 0.0, 0.2618408203125, 1.0, 0.2515869140625, 0.0, 0.24267578125, 1.0, 0.2459716796875, 0.0, 0.2474365234375, 1.0, 0.2454833984375, 0.0, 0.259521484375, 1.0, 0.248779296875]"
2,HSGS,original,0.3,False,0.1,0.6343798686338388,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
3,HSGS,original,0.3,True,0.1,0.6343798686338388,"[0.0, 0.2587890625, 1.0, 0.251708984375, 0.0, 0.2481689453125, 1.0, 0.25732421875, 0.0, 0.245361328125, 1.0, 0.24755859375, 0.0, 0.2569580078125, 1.0, 0.2618408203125, 0.0, 0.244140625, 1.0, 0.2515869140625]"
4,HSGS,original,0.5,False,0.02,0.6343798686338388,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
5,HSGS,original,0.5,True,0.02,0.6343798686338388,"[0.0, 0.26220703125, 1.0, 0.2591552734375, 0.0, 0.2572021484375, 1.0, 0.2545166015625, 0.0, 0.2486572265625, 1.0, 0.25048828125, 0.0, 0.2574462890625, 1.0, 0.2528076171875, 0.0, 0.25048828125, 1.0, 0.2568359375]"
6,HSGS,original,0.5,False,0.1,0.6343798686338388,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
7,HSGS,original,0.5,True,0.1,0.6343798686338388,"[0.0, 0.251220703125, 1.0, 0.2479248046875, 0.0, 0.254638671875, 1.0, 0.249267578125, 0.0, 0.2568359375, 1.0, 0.2548828125, 0.0, 0.24755859375, 1.0, 0.2564697265625, 0.0, 0.244384765625, 1.0, 0.2529296875]"
8,HSGS,original,0.7,False,0.02,0.6343798686338388,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
9,HSGS,original,0.7,True,0.02,0.6343798686338388,"[0.0, 0.2510986328125, 1.0, 0.242431640625, 0.0, 0.2474365234375, 1.0, 0.2454833984375, 0.0, 0.2469482421875, 1.0, 0.255126953125, 0.0, 0.250244140625, 1.0, 0.2508544921875, 0.0, 0.2391357421875, 1.0, 0.2525634765625]"
10,HSGS,original,0.7,False,0.1,0.6343798686338388,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
11,HSGS,original,0.7,True,0.1,0.6343798686338388,"[0.0, 0.2471923828125, 1.0, 0.248291015625, 0.0, 0.2515869140625, 1.0, 0.2564697265625, 0.0, 0.253173828125, 1.0, 0.2471923828125, 0.0, 0.250732421875, 1.0, 0.2562255859375, 0.0, 0.2467041015625, 1.0, 0.2509765625]"
12,HSGS,original,0.8,False,0.02,0.6343798686338388,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
13,HSGS,original,0.8,True,0.02,0.6343798686338388,"[0.0, 0.259521484375, 1.0, 0.2445068359375, 0.0, 0.249267578125, 1.0, 0.248046875, 0.0, 0.247314453125, 1.0, 0.250244140625, 0.0, 0.2479248046875, 1.0, 0.2406005859375, 0.0, 0.257080078125, 1.0, 0.2427978515625]"
14,HSGS,original,0.8,False,0.1,0.6343798686338388,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
15,HSGS,original,0.8,True,0.1,0.6343798686338388,"[0.0, 0.252197265625, 1.0, 0.2545166015625, 0.0, 0.2425537109375, 1.0, 0.2513427734375, 0.0, 0.25244140625, 1.0, 0.2454833984375, 0.0, 0.24560546875, 1.0, 0.2633056640625, 0.0, 0.255615234375, 1.0, 0.240966796875]"
16,HSGS,original,0.9,False,0.02,0.6343798686338388,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
17,HSGS,original,0.9,True,0.02,0.6343798686338388,"[0.0, 0.258544921875, 1.0, 0.250732421875, 0.0, 0.250244140625, 1.0, 0.25634765625, 0.0, 0.248779296875, 1.0, 0.2476806640625, 0.0, 0.249267578125, 1.0, 0.2550048828125, 0.0, 0.2481689453125, 1.0, 0.2401123046875]"
18,HSGS,original,0.9,False,0.1,0.6343798686338388,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
19,HSGS,original,0.9,True,0.1,0.6343798686338388,"[0.0, 0.2457275390625, 1.0, 0.2491455078125, 0.0, 0.255615234375, 1.0, 0.2498779296875, 0.0, 0.2486572265625, 1.0, 0.2413330078125, 0.0, 0.2515869140625, 1.0, 0.24658203125, 0.0, 0.2513427734375, 1.0, 0.2510986328125]"
20,HSGS,original,0.3,False,0.02,0.5229062010283453,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
21,HSGS,original,0.3,True,0.02,0.5229062010283453,"[0.0, 0.2335205078125, 1.0, 0.2366943359375, 0.0, 0.2579345703125, 1.0, 0.242919921875, 0.0, 0.2474365234375, 1.0, 0.2498779296875, 0.0, 0.254150390625, 1.0, 0.24658203125, 0.0, 0.25048828125, 1.0, 0.25]"
22,HSGS,original,0.3,False,0.1,0.5229062010283453,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
23,HSGS,original,0.3,True,0.1,0.5229062010283453,"[0.0, 0.2530517578125, 1.0, 0.24365234375, 0.0, 0.2437744140625, 1.0, 0.24951171875, 0.0, 0.2486572265625, 1.0, 0.245849609375, 0.0, 0.2508544921875, 1.0, 0.251953125, 0.0, 0.2490234375, 1.0, 0.247314453125]"
24,HSGS,original,0.5,False,0.02,0.5229062010283453,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
25,HSGS,original,0.5,True,0.02,0.5229062010283453,"[0.0, 0.2587890625, 1.0, 0.25, 0.0, 0.2454833984375, 1.0, 0.25, 0.0, 0.246826171875, 1.0, 0.2567138671875, 0.0, 0.25390625, 1.0, 0.2513427734375, 0.0, 0.255126953125, 1.0, 0.2493896484375]"
26,HSGS,original,0.5,False,0.1,0.5229062010283453,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
27,HSGS,original,0.5,True,0.1,0.5229062010283453,"[0.0, 0.2562255859375, 1.0, 0.24267578125, 0.0, 0.252685546875, 1.0, 0.2535400390625, 0.0, 0.2548828125, 1.0, 0.2523193359375, 0.0, 0.2431640625, 1.0, 0.2481689453125, 0.0, 0.25439453125, 1.0, 0.2496337890625]"
28,HSGS,original,0.7,False,0.02,0.5229062010283453,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
29,HSGS,original,0.7,True,0.02,0.5229062010283453,"[0.0, 0.241455078125, 1.0, 0.2567138671875, 0.0, 0.2520751953125, 1.0, 0.25244140625, 0.0, 0.2459716796875, 1.0, 0.2548828125, 0.0, 0.2548828125, 1.0, 0.2496337890625, 0.0, 0.2474365234375, 1.0, 0.2470703125]"
30,HSGS,original,0.7,False,0.1,0.5229062010283453,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
31,HSGS,original,0.7,True,0.1,0.5229062010283453,"[0.0, 0.2462158203125, 1.0, 0.246337890625, 0.0, 0.2513427734375, 1.0, 0.2481689453125, 0.0, 0.2457275390625, 1.0, 0.250732421875, 0.0, 0.2479248046875, 1.0, 0.2469482421875, 0.0, 0.252685546875, 1.0, 0.2523193359375]"
