,model,phase_strategy,bias,threshold,lr,initial_weights,neuron_outputs
0,Encoding,original,False,0.5,0.02,"[0.07630828937395717, 0.7799187922401146, 0.4384092314408935, 0.7234651778309412, 0.9779895119966027, 0.5384958704104337, 0.5011204636599379, 0.07205113335976154]","[0.4014892578125, 0.3426513671875, 0.4698486328125, 0.5645751953125, 0.28662109375, 0.227783203125, 0.552490234375, 0.3746337890625, 0.353515625, 0.3743896484375, 0.411865234375, 0.51318359375, 0.6004638671875, 0.6494140625, 0.482421875, 0.3997802734375, 0.4814453125, 0.4892578125, 0.39111328125, 0.5472412109375, 0.485595703125, 0.465576171875, 0.390869140625, 0.333251953125, 0.4638671875, 0.4398193359375, 0.526611328125, 0.520263671875, 0.5054931640625, 0.5787353515625, 0.487060546875, 0.4100341796875, 0.07958984375, 0.3548583984375, 0.337890625, 0.3753662109375, 0.3963623046875, 0.553955078125, 0.5816650390625, 0.34521484375, 0.2955322265625, 0.3961181640625, 0.4085693359375, 0.4227294921875, 0.2462158203125, 0.4937744140625, 0.6131591796875, 0.4862060546875, 0.3106689453125, 0.358642578125, 0.60302734375, 0.4443359375, 0.5474853515625, 0.5234375, 0.6087646484375, 0.446533203125, 0.5946044921875, 0.4310302734375, 0.4720458984375, 0.302490234375, 0.5523681640625, 0.611572265625, 0.562255859375, 0.435302734375, 0.4322509765625, 0.5611572265625, 0.489501953125, 0.2999267578125, 0.173095703125, 0.3865966796875, 0.3441162109375, 0.14404296875, 0.2059326171875, 0.4317626953125, 0.2550048828125, 0.5654296875, 0.4837646484375, 0.4012451171875, 0.5028076171875, 0.3447265625]"
1,Encoding,original,True,0.5,0.02,"[0.07630828937395717, 0.7799187922401146, 0.4384092314408935, 0.7234651778309412, 0.9779895119966027, 0.5384958704104337, 0.5011204636599379, 0.07205113335976154]","[0.5755615234375, 0.5533447265625, 0.660400390625, 0.6798095703125, 0.6036376953125, 0.6695556640625, 0.6842041015625, 0.6083984375, 0.5682373046875, 0.6116943359375, 0.639892578125, 0.607177734375, 0.68896484375, 0.6932373046875, 0.68896484375, 0.6483154296875, 0.679443359375, 0.7139892578125, 0.68505859375, 0.623779296875, 0.641357421875, 0.640869140625, 0.645751953125, 0.62744140625, 0.6243896484375, 0.6429443359375, 0.645263671875, 0.6273193359375, 0.7286376953125, 0.6724853515625, 0.641845703125, 0.645751953125, 0.4703369140625, 0.5989990234375, 0.661376953125, 0.72265625, 0.626953125, 0.7052001953125, 0.675048828125, 0.60107421875, 0.6685791015625, 0.607177734375, 0.70751953125, 0.655517578125, 0.5908203125, 0.62841796875, 0.666015625, 0.65478515625, 0.6290283203125, 0.5487060546875, 0.6746826171875, 0.64794921875, 0.6824951171875, 0.6849365234375, 0.72314453125, 0.674072265625, 0.727294921875, 0.6871337890625, 0.6197509765625, 0.6826171875, 0.6904296875, 0.72509765625, 0.666259765625, 0.6334228515625, 0.650390625, 0.70068359375, 0.682861328125, 0.589111328125, 0.489501953125, 0.5911865234375, 0.6055908203125, 0.550048828125, 0.570556640625, 0.640625, 0.5972900390625, 0.7183837890625, 0.668212890625, 0.570556640625, 0.696533203125, 0.6099853515625]"
2,Encoding,original,False,0.5,0.1,"[0.07630828937395717, 0.7799187922401146, 0.4384092314408935, 0.7234651778309412, 0.9779895119966027, 0.5384958704104337, 0.5011204636599379, 0.07205113335976154]","[0.29052734375, 0.2540283203125, 0.4390869140625, 0.5098876953125, 0.2647705078125, 0.2037353515625, 0.4857177734375, 0.3621826171875, 0.3018798828125, 0.3748779296875, 0.357666015625, 0.4654541015625, 0.55615234375, 0.6669921875, 0.4951171875, 0.388916015625, 0.440185546875, 0.4398193359375, 0.3514404296875, 0.49755859375, 0.4171142578125, 0.4603271484375, 0.40234375, 0.3560791015625, 0.4312744140625, 0.5550537109375, 0.4857177734375, 0.4638671875, 0.443115234375, 0.558837890625, 0.5113525390625, 0.3720703125, 0.063720703125, 0.368896484375, 0.2191162109375, 0.35498046875, 0.4022216796875, 0.50341796875, 0.5665283203125, 0.314453125, 0.364013671875, 0.3626708984375, 0.32861328125, 0.4605712890625, 0.1837158203125, 0.44970703125, 0.5655517578125, 0.384765625, 0.2716064453125, 0.2515869140625, 0.7100830078125, 0.466796875, 0.498046875, 0.560302734375, 0.6201171875, 0.4322509765625, 0.6185302734375, 0.5201416015625, 0.4105224609375, 0.2864990234375, 0.542236328125, 0.6109619140625, 0.4219970703125, 0.5198974609375, 0.57080078125, 0.5400390625, 0.455078125, 0.2845458984375, 0.1220703125, 0.376708984375, 0.2568359375, 0.14404296875, 0.146728515625, 0.3671875, 0.2633056640625, 0.5511474609375, 0.4122314453125, 0.380859375, 0.466552734375, 0.3055419921875]"
3,Encoding,original,True,0.5,0.1,"[0.07630828937395717, 0.7799187922401146, 0.4384092314408935, 0.7234651778309412, 0.9779895119966027, 0.5384958704104337, 0.5011204636599379, 0.07205113335976154]","[0.6861572265625, 0.6146240234375, 0.6658935546875, 0.7432861328125, 0.6309814453125, 0.5628662109375, 0.7503662109375, 0.620849609375, 0.582275390625, 0.654052734375, 0.6287841796875, 0.6494140625, 0.783935546875, 0.789794921875, 0.732421875, 0.69482421875, 0.703125, 0.71435546875, 0.7164306640625, 0.7171630859375, 0.7286376953125, 0.7490234375, 0.6456298828125, 0.6373291015625, 0.64111328125, 0.6566162109375, 0.6949462890625, 0.71435546875, 0.672119140625, 0.707763671875, 0.7330322265625, 0.6673583984375, 0.483642578125, 0.6402587890625, 0.6153564453125, 0.66943359375, 0.6719970703125, 0.7076416015625, 0.6859130859375, 0.6019287109375, 0.6046142578125, 0.6688232421875, 0.6871337890625, 0.6351318359375, 0.63427734375, 0.6602783203125, 0.737060546875, 0.808349609375, 0.578125, 0.616455078125, 0.7147216796875, 0.67626953125, 0.7535400390625, 0.66357421875, 0.7445068359375, 0.69677734375, 0.7674560546875, 0.6649169921875, 0.697998046875, 0.6539306640625, 0.730712890625, 0.74169921875, 0.76806640625, 0.6981201171875, 0.64892578125, 0.7333984375, 0.698486328125, 0.65185546875, 0.5308837890625, 0.7274169921875, 0.658935546875, 0.556396484375, 0.580322265625, 0.6810302734375, 0.572998046875, 0.75, 0.7666015625, 0.6796875, 0.7254638671875, 0.68896484375]"
4,Encoding,original,False,0.7,0.02,"[0.07630828937395717, 0.7799187922401146, 0.4384092314408935, 0.7234651778309412, 0.9779895119966027, 0.5384958704104337, 0.5011204636599379, 0.07205113335976154]","[0.3900146484375, 0.341796875, 0.501953125, 0.6051025390625, 0.2864990234375, 0.2215576171875, 0.5712890625, 0.3541259765625, 0.3017578125, 0.3687744140625, 0.4095458984375, 0.4825439453125, 0.6126708984375, 0.7005615234375, 0.49755859375, 0.4063720703125, 0.512939453125, 0.5428466796875, 0.3927001953125, 0.549560546875, 0.4974365234375, 0.5111083984375, 0.3797607421875, 0.324462890625, 0.424560546875, 0.423828125, 0.494873046875, 0.5037841796875, 0.5279541015625, 0.579345703125, 0.5294189453125, 0.3846435546875, 0.0701904296875, 0.3856201171875, 0.3267822265625, 0.399658203125, 0.40771484375, 0.5709228515625, 0.5908203125, 0.3775634765625, 0.322998046875, 0.373779296875, 0.421630859375, 0.410400390625, 0.2655029296875, 0.493408203125, 0.6361083984375, 0.4991455078125, 0.281982421875, 0.3209228515625, 0.6510009765625, 0.444091796875, 0.559326171875, 0.5303955078125, 0.670166015625, 0.4373779296875, 0.66064453125, 0.43701171875, 0.4530029296875, 0.3016357421875, 0.587646484375, 0.657958984375, 0.5721435546875, 0.4678955078125, 0.4405517578125, 0.5869140625, 0.4970703125, 0.27197265625, 0.143798828125, 0.3868408203125, 0.34033203125, 0.124755859375, 0.18701171875, 0.4537353515625, 0.21337890625, 0.63037109375, 0.480224609375, 0.3795166015625, 0.4808349609375, 0.364501953125]"
5,Encoding,original,True,0.7,0.02,"[0.07630828937395717, 0.7799187922401146, 0.4384092314408935, 0.7234651778309412, 0.9779895119966027, 0.5384958704104337, 0.5011204636599379, 0.07205113335976154]","[0.6787109375, 0.6639404296875, 0.7127685546875, 0.7669677734375, 0.6680908203125, 0.6434326171875, 0.72509765625, 0.6883544921875, 0.684814453125, 0.69775390625, 0.69580078125, 0.7059326171875, 0.7515869140625, 0.7860107421875, 0.747802734375, 0.7008056640625, 0.701904296875, 0.7364501953125, 0.7088623046875, 0.727783203125, 0.68603515625, 0.733642578125, 0.6597900390625, 0.7000732421875, 0.72998046875, 0.73876953125, 0.7255859375, 0.728271484375, 0.7757568359375, 0.7913818359375, 0.739990234375, 0.701171875, 0.4876708984375, 0.689208984375, 0.6290283203125, 0.6597900390625, 0.677001953125, 0.7320556640625, 0.7646484375, 0.70361328125, 0.6845703125, 0.7117919921875, 0.690185546875, 0.677734375, 0.6224365234375, 0.7420654296875, 0.772705078125, 0.7091064453125, 0.6719970703125, 0.6544189453125, 0.7723388671875, 0.7386474609375, 0.72314453125, 0.7376708984375, 0.773193359375, 0.7191162109375, 0.7781982421875, 0.7410888671875, 0.7216796875, 0.67919921875, 0.740478515625, 0.7520751953125, 0.7813720703125, 0.7227783203125, 0.7490234375, 0.753173828125, 0.7421875, 0.6156005859375, 0.603271484375, 0.65234375, 0.6534423828125, 0.578125, 0.5452880859375, 0.712890625, 0.62109375, 0.751708984375, 0.69677734375, 0.681640625, 0.7066650390625, 0.680419921875]"
6,Encoding,original,False,0.7,0.1,"[0.07630828937395717, 0.7799187922401146, 0.4384092314408935, 0.7234651778309412, 0.9779895119966027, 0.5384958704104337, 0.5011204636599379, 0.07205113335976154]","[0.2952880859375, 0.2506103515625, 0.43212890625, 0.505859375, 0.268798828125, 0.207763671875, 0.4910888671875, 0.362548828125, 0.2989501953125, 0.37109375, 0.353271484375, 0.461181640625, 0.549560546875, 0.67431640625, 0.492431640625, 0.3873291015625, 0.44140625, 0.4427490234375, 0.35107421875, 0.4996337890625, 0.4097900390625, 0.4566650390625, 0.393310546875, 0.3643798828125, 0.421875, 0.5498046875, 0.47509765625, 0.4534912109375, 0.4288330078125, 0.56103515625, 0.52197265625, 0.371337890625, 0.05810546875, 0.3707275390625, 0.21630859375, 0.3514404296875, 0.4169921875, 0.5003662109375, 0.560302734375, 0.3106689453125, 0.36181640625, 0.3721923828125, 0.3326416015625, 0.46728515625, 0.18603515625, 0.4412841796875, 0.5770263671875, 0.388671875, 0.2667236328125, 0.2493896484375, 0.70947265625, 0.4544677734375, 0.509521484375, 0.5557861328125, 0.615478515625, 0.421875, 0.615478515625, 0.5230712890625, 0.3980712890625, 0.2884521484375, 0.5404052734375, 0.607177734375, 0.408935546875, 0.5137939453125, 0.5650634765625, 0.531005859375, 0.4483642578125, 0.27734375, 0.1195068359375, 0.3875732421875, 0.2457275390625, 0.146728515625, 0.147216796875, 0.35009765625, 0.2677001953125, 0.554931640625, 0.4136962890625, 0.3631591796875, 0.4644775390625, 0.308837890625]"
7,Encoding,original,True,0.7,0.1,"[0.07630828937395717, 0.7799187922401146, 0.4384092314408935, 0.7234651778309412, 0.9779895119966027, 0.5384958704104337, 0.5011204636599379, 0.07205113335976154]","[0.6114501953125, 0.5936279296875, 0.7138671875, 0.7388916015625, 0.6207275390625, 0.571044921875, 0.7261962890625, 0.6927490234375, 0.649658203125, 0.6688232421875, 0.66162109375, 0.733642578125, 0.7740478515625, 0.81298828125, 0.7359619140625, 0.678466796875, 0.6865234375, 0.6815185546875, 0.6500244140625, 0.7352294921875, 0.6927490234375, 0.711669921875, 0.7022705078125, 0.66796875, 0.7071533203125, 0.79052734375, 0.7113037109375, 0.70361328125, 0.689208984375, 0.7667236328125, 0.7388916015625, 0.6707763671875, 0.4571533203125, 0.6612548828125, 0.5640869140625, 0.6502685546875, 0.6885986328125, 0.7454833984375, 0.77490234375, 0.6376953125, 0.66162109375, 0.6695556640625, 0.6248779296875, 0.7550048828125, 0.5489501953125, 0.7164306640625, 0.7646484375, 0.657958984375, 0.6312255859375, 0.60107421875, 0.83642578125, 0.7288818359375, 0.745361328125, 0.7862548828125, 0.7889404296875, 0.685546875, 0.777099609375, 0.76513671875, 0.692626953125, 0.60986328125, 0.766357421875, 0.7967529296875, 0.66796875, 0.740966796875, 0.79638671875, 0.7398681640625, 0.699462890625, 0.617431640625, 0.4942626953125, 0.690673828125, 0.594970703125, 0.5235595703125, 0.5323486328125, 0.664794921875, 0.6317138671875, 0.7529296875, 0.681396484375, 0.6748046875, 0.7327880859375, 0.6275634765625]"
8,Encoding,original,False,0.9,0.02,"[0.07630828937395717, 0.7799187922401146, 0.4384092314408935, 0.7234651778309412, 0.9779895119966027, 0.5384958704104337, 0.5011204636599379, 0.07205113335976154]","[0.4002685546875, 0.344970703125, 0.50341796875, 0.6114501953125, 0.288818359375, 0.22314453125, 0.576904296875, 0.3592529296875, 0.30908203125, 0.3599853515625, 0.4140625, 0.4853515625, 0.611328125, 0.7015380859375, 0.490478515625, 0.401123046875, 0.516357421875, 0.5531005859375, 0.40087890625, 0.5467529296875, 0.4866943359375, 0.502197265625, 0.3690185546875, 0.3287353515625, 0.4246826171875, 0.43212890625, 0.496337890625, 0.5159912109375, 0.52734375, 0.5692138671875, 0.521240234375, 0.39990234375, 0.0762939453125, 0.374755859375, 0.340087890625, 0.3818359375, 0.3984375, 0.5804443359375, 0.584228515625, 0.365478515625, 0.32568359375, 0.3778076171875, 0.4197998046875, 0.4180908203125, 0.26220703125, 0.4940185546875, 0.63232421875, 0.4847412109375, 0.2860107421875, 0.312744140625, 0.6497802734375, 0.441162109375, 0.5560302734375, 0.527587890625, 0.6756591796875, 0.4339599609375, 0.65234375, 0.4471435546875, 0.449462890625, 0.2967529296875, 0.5771484375, 0.656982421875, 0.57568359375, 0.4766845703125, 0.454833984375, 0.583251953125, 0.51611328125, 0.2828369140625, 0.1417236328125, 0.386962890625, 0.3292236328125, 0.1322021484375, 0.18017578125, 0.44677734375, 0.2261962890625, 0.6265869140625, 0.47900390625, 0.3873291015625, 0.461669921875, 0.3570556640625]"
9,Encoding,original,True,0.9,0.02,"[0.07630828937395717, 0.7799187922401146, 0.4384092314408935, 0.7234651778309412, 0.9779895119966027, 0.5384958704104337, 0.5011204636599379, 0.07205113335976154]","[0.678466796875, 0.65576171875, 0.7454833984375, 0.7930908203125, 0.63525390625, 0.5943603515625, 0.7843017578125, 0.6851806640625, 0.634765625, 0.6861572265625, 0.6878662109375, 0.740478515625, 0.792724609375, 0.8333740234375, 0.7496337890625, 0.6937255859375, 0.751708984375, 0.7578125, 0.6964111328125, 0.7474365234375, 0.7191162109375, 0.7464599609375, 0.6864013671875, 0.6695556640625, 0.706298828125, 0.7322998046875, 0.746826171875, 0.748291015625, 0.7393798828125, 0.7890625, 0.7686767578125, 0.6932373046875, 0.466552734375, 0.691162109375, 0.6304931640625, 0.685791015625, 0.704345703125, 0.7823486328125, 0.790771484375, 0.68017578125, 0.6661376953125, 0.6885986328125, 0.688720703125, 0.71435546875, 0.6072998046875, 0.73046875, 0.8062744140625, 0.7264404296875, 0.62646484375, 0.6324462890625, 0.82373046875, 0.7257080078125, 0.76513671875, 0.771240234375, 0.8271484375, 0.726318359375, 0.8226318359375, 0.7337646484375, 0.706787109375, 0.6478271484375, 0.78515625, 0.8212890625, 0.76318359375, 0.7503662109375, 0.7342529296875, 0.7867431640625, 0.7542724609375, 0.6402587890625, 0.5350341796875, 0.6898193359375, 0.6597900390625, 0.5235595703125, 0.556640625, 0.71826171875, 0.6068115234375, 0.801025390625, 0.7288818359375, 0.6986083984375, 0.7349853515625, 0.6749267578125]"
