,model,phase_strategy,bias,threshold,lr,initial_weights,neuron_outputs
0,Encoding,original,False,0.1,0.02,"[0.07630828937395717, 0.7799187922401146, 0.4384092314408935, 0.7234651778309412]","[0.2454833984375, 0.25048828125, 0.234619140625, 0.2503662109375, 0.25, 0.253662109375, 0.2490234375, 0.251953125, 0.251708984375, 0.2525634765625, 0.2493896484375, 0.2550048828125, 0.2454833984375, 0.2532958984375, 0.25927734375, 0.246826171875, 0.2509765625, 0.2581787109375, 0.2562255859375, 0.2535400390625, 0.2484130859375, 0.244384765625, 0.2574462890625, 0.2508544921875, 0.2550048828125, 0.25439453125, 0.2567138671875, 0.2476806640625, 0.254150390625, 0.259765625, 0.2490234375, 0.2470703125, 0.2445068359375, 0.2420654296875, 0.241455078125]"
1,Encoding,original,True,0.1,0.02,"[0.07630828937395717, 0.7799187922401146, 0.4384092314408935, 0.7234651778309412]","[0.255859375, 0.2459716796875, 0.2509765625, 0.25390625, 0.2537841796875, 0.2562255859375, 0.2550048828125, 0.2525634765625, 0.2513427734375, 0.2557373046875, 0.2474365234375, 0.254150390625, 0.245849609375, 0.2470703125, 0.246826171875, 0.24560546875, 0.2510986328125, 0.25146484375, 0.2532958984375, 0.251708984375, 0.2486572265625, 0.242431640625, 0.2525634765625, 0.2457275390625, 0.2506103515625, 0.2445068359375, 0.25537109375, 0.2520751953125, 0.2481689453125, 0.249755859375, 0.2564697265625, 0.2548828125, 0.259033203125, 0.257568359375, 0.2510986328125]"
2,Encoding,original,False,0.1,0.1,"[0.07630828937395717, 0.7799187922401146, 0.4384092314408935, 0.7234651778309412]","[0.1102294921875, 0.1248779296875, 0.11376953125, 0.1278076171875, 0.120849609375, 0.12548828125, 0.1214599609375, 0.117919921875, 0.1240234375, 0.115966796875, 0.115966796875, 0.120849609375, 0.1195068359375, 0.1204833984375, 0.1246337890625, 0.12255859375, 0.1168212890625, 0.1148681640625, 0.1177978515625, 0.116455078125, 0.1187744140625, 0.1156005859375, 0.1163330078125, 0.11572265625, 0.1170654296875, 0.122314453125, 0.119384765625, 0.12255859375, 0.1163330078125, 0.1195068359375, 0.1163330078125, 0.122802734375, 0.118408203125, 0.1240234375, 0.1239013671875]"
3,Encoding,original,True,0.1,0.1,"[0.07630828937395717, 0.7799187922401146, 0.4384092314408935, 0.7234651778309412]","[0.258544921875, 0.2469482421875, 0.2435302734375, 0.2476806640625, 0.2547607421875, 0.2508544921875, 0.246826171875, 0.2509765625, 0.2557373046875, 0.2462158203125, 0.245361328125, 0.2392578125, 0.248291015625, 0.2452392578125, 0.258544921875, 0.2506103515625, 0.2491455078125, 0.249267578125, 0.2509765625, 0.248046875, 0.251953125, 0.252197265625, 0.25244140625, 0.256103515625, 0.254150390625, 0.24755859375, 0.2462158203125, 0.248779296875, 0.2554931640625, 0.2489013671875, 0.2451171875, 0.2445068359375, 0.249755859375, 0.24462890625, 0.24365234375]"
4,Encoding,original,False,0.3,0.02,"[0.07630828937395717, 0.7799187922401146, 0.4384092314408935, 0.7234651778309412]","[0.3355712890625, 0.3309326171875, 0.33154296875, 0.3323974609375, 0.3245849609375, 0.32666015625, 0.3309326171875, 0.3260498046875, 0.325439453125, 0.327392578125, 0.3350830078125, 0.3280029296875, 0.331787109375, 0.324462890625, 0.3358154296875, 0.33349609375, 0.332275390625, 0.3343505859375, 0.33154296875, 0.3277587890625, 0.3321533203125, 0.3297119140625, 0.32421875, 0.3282470703125, 0.333984375, 0.33544921875, 0.3302001953125, 0.3338623046875, 0.3375244140625, 0.3394775390625, 0.3233642578125, 0.3319091796875, 0.3277587890625, 0.3250732421875, 0.3292236328125]"
5,Encoding,original,True,0.3,0.02,"[0.07630828937395717, 0.7799187922401146, 0.4384092314408935, 0.7234651778309412]","[0.3170166015625, 0.3172607421875, 0.3017578125, 0.314208984375, 0.3155517578125, 0.3218994140625, 0.31298828125, 0.3118896484375, 0.3123779296875, 0.3121337890625, 0.3115234375, 0.3201904296875, 0.3121337890625, 0.316162109375, 0.3037109375, 0.316162109375, 0.312744140625, 0.3204345703125, 0.310791015625, 0.308837890625, 0.3048095703125, 0.309326171875, 0.31298828125, 0.3082275390625, 0.3143310546875, 0.306396484375, 0.315185546875, 0.315185546875, 0.3135986328125, 0.31396484375, 0.309326171875, 0.306396484375, 0.3082275390625, 0.3187255859375, 0.31884765625]"
6,Encoding,original,False,0.3,0.1,"[0.07630828937395717, 0.7799187922401146, 0.4384092314408935, 0.7234651778309412]","[0.308349609375, 0.318603515625, 0.31298828125, 0.3145751953125, 0.307373046875, 0.3089599609375, 0.3114013671875, 0.309814453125, 0.322509765625, 0.3138427734375, 0, 0.307373046875, 0.313232421875, 0.318115234375, 0.3065185546875, 0.3092041015625, 0.310302734375, 0.3160400390625, 0.310302734375, 0.31689453125, 0.3271484375, 0.3123779296875, 0.314453125, 0.305908203125, 0.3154296875, 0.31494140625, 0.3131103515625, 0.3170166015625, 0.3095703125, 0.3172607421875, 0.3170166015625, 0.305908203125, 0.3082275390625, 0.31201171875, 0.315673828125]"
7,Encoding,original,True,0.3,0.1,"[0.07630828937395717, 0.7799187922401146, 0.4384092314408935, 0.7234651778309412]","[0.33056640625, 0.3289794921875, 0.330810546875, 0.3232421875, 0.325439453125, 0.3265380859375, 0.325439453125, 0.332763671875, 0.32421875, 0.3270263671875, 0.3331298828125, 0.3250732421875, 0.327392578125, 0.3280029296875, 0.3287353515625, 0.3270263671875, 0.3380126953125, 0.3355712890625, 0.325927734375, 0.3258056640625, 0.3250732421875, 0.3302001953125, 0.3326416015625, 0.3236083984375, 0.3292236328125, 0.32470703125, 0.3265380859375, 0.3310546875, 0.322509765625, 0.3199462890625, 0.3311767578125, 0.3282470703125, 0.3348388671875, 0.3304443359375, 0.326904296875]"
8,Encoding,original,False,0.5,0.02,"[0.07630828937395717, 0.7799187922401146, 0.4384092314408935, 0.7234651778309412]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,Encoding,original,True,0.5,0.02,"[0.07630828937395717, 0.7799187922401146, 0.4384092314408935, 0.7234651778309412]","[0.5189208984375, 0.5120849609375, 0.521240234375, 0.50732421875, 0.5072021484375, 0.5167236328125, 0.513671875, 0.5091552734375, 0.508544921875, 0.5057373046875, 0.5093994140625, 0.517822265625, 0.5113525390625, 0.5025634765625, 0.5045166015625, 0.51171875, 0.5137939453125, 0.5101318359375, 0.516845703125, 0.5069580078125, 0.522216796875, 0.5140380859375, 0.5050048828125, 0.510986328125, 0.505859375, 0.5181884765625, 0.51220703125, 0.51513671875, 0.5047607421875, 0.514892578125, 0.506591796875, 0.51611328125, 0.5172119140625, 0.50390625, 0.5052490234375]"
