error,model
0.6667,error_HSGS
0.6667,error_HSGS
0.6667,error_HSGS
0.6667,error_HSGS
0.6667,error_HSGS
0.6667,error_HSGS
0.6667,error_HSGS
0.6667,error_HSGS
0.6667,error_HSGS
0.6667,error_HSGS
0.6667,error_HSGS
0.6667,error_HSGS
0.6667,error_HSGS
0.6667,error_HSGS
0.6667,error_HSGS
0.6667,error_HSGS
0.6667,error_HSGS
0.6667,error_HSGS
0.6667,error_HSGS
0.6667,error_HSGS
0.3333,error_encoding_weight
0.3333,error_encoding_weight
0.3333,error_encoding_weight
0.3333,error_encoding_weight
0.3333,error_encoding_weight
0.3333,error_encoding_weight
0.3333,error_encoding_weight
0.3333,error_encoding_weight
0.3333,error_encoding_weight
0.3333,error_encoding_weight
0.3333,error_encoding_weight
0.3333,error_encoding_weight
0.3333,error_encoding_weight
0.3333,error_encoding_weight
0.3333,error_encoding_weight
0.3333,error_encoding_weight
0.3333,error_encoding_weight
0.3333,error_encoding_weight
0.3333,error_encoding_weight
0.3333,error_encoding_weight
0.5185,error_encoding_input
0.4444,error_encoding_input
0.5185,error_encoding_input
0.5556,error_encoding_input
0.4074,error_encoding_input
0.5185,error_encoding_input
0.3704,error_encoding_input
0.4815,error_encoding_input
0.7037,error_encoding_input
0.5185,error_encoding_input
0.3704,error_encoding_input
0.5185,error_encoding_input
0.5556,error_encoding_input
0.4074,error_encoding_input
0.5926,error_encoding_input
0.4074,error_encoding_input
0.5185,error_encoding_input
0.3333,error_encoding_input
0.3333,error_encoding_input
0.4444,error_encoding_input
0.6667,error_classic
0.6667,error_classic
0.6667,error_classic
0.6667,error_classic
0.6667,error_classic
0.6667,error_classic
0.6667,error_classic
0.6667,error_classic
0.6667,error_classic
0.6667,error_classic
0.6667,error_classic
0.6667,error_classic
0.6667,error_classic
0.6667,error_classic
0.6667,error_classic
0.6667,error_classic
0.6667,error_classic
0.6667,error_classic
0.6667,error_classic
0.6667,error_classic
0.6667,error_classic_bin
0.6667,error_classic_bin
0.6667,error_classic_bin
0.6667,error_classic_bin
0.6667,error_classic_bin
0.6667,error_classic_bin
0.6667,error_classic_bin
0.6667,error_classic_bin
0.6667,error_classic_bin
0.6667,error_classic_bin
0.6667,error_classic_bin
0.6667,error_classic_bin
0.6667,error_classic_bin
0.6667,error_classic_bin
0.6667,error_classic_bin
0.6667,error_classic_bin
0.6667,error_classic_bin
0.6667,error_classic_bin
0.6667,error_classic_bin
0.6667,error_classic_bin
