error,model
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3542,error_encoding_weight
0.3646,error_encoding_weight
0.3646,error_encoding_weight
0.3646,error_encoding_weight
0.3594,error_encoding_weight
0.4427,error_encoding_input
0.5365,error_encoding_input
0.5156,error_encoding_input
0.4896,error_encoding_input
0.5156,error_encoding_input
0.5104,error_phase_encoding
0.4635,error_phase_encoding
0.4844,error_phase_encoding
0.5,error_phase_encoding
0.4948,error_phase_encoding
