error,model
0.5,error_HSGS
0.5,error_HSGS
0.5,error_HSGS
0.5,error_HSGS
0.5,error_HSGS
0.5,error_HSGS
0.5,error_HSGS
0.5,error_HSGS
0.5,error_HSGS
0.5,error_HSGS
0.16,error_encoding_weight
0.165,error_encoding_weight
0.165,error_encoding_weight
0.17,error_encoding_weight
0.155,error_encoding_weight
0.17,error_encoding_weight
0.165,error_encoding_weight
0.17,error_encoding_weight
0.165,error_encoding_weight
0.175,error_encoding_weight
0.56,error_encoding_input
0.465,error_encoding_input
0.47,error_encoding_input
0.5,error_encoding_input
0.485,error_encoding_input
0.525,error_encoding_input
0.47,error_encoding_input
0.485,error_encoding_input
0.54,error_encoding_input
0.555,error_encoding_input
0.22,error_phase_encoding
0.225,error_phase_encoding
0.225,error_phase_encoding
0.22,error_phase_encoding
0.22,error_phase_encoding
0.22,error_phase_encoding
0.215,error_phase_encoding
0.235,error_phase_encoding
0.22,error_phase_encoding
0.22,error_phase_encoding
