,output_HSGS,output_encoding_weight,output_encoding_input,output_phase_encoding,target
400,1.0,0.40234375,0.548828125,0.5810546875,0
401,1.0,0.150390625,0.6357421875,0.701171875,0
402,1.0,0.185546875,0.658203125,0.873046875,0
403,1.0,0.3251953125,0.51953125,0.744140625,0
404,1.0,0.833984375,0.5234375,0.6748046875,0
405,1.0,0.376953125,0.71484375,0.634765625,0
406,1.0,0.1435546875,0.513671875,0.794921875,0
407,1.0,0.1064453125,0.576171875,0.736328125,0
408,1.0,0.171875,0.83984375,0.7646484375,0
409,1.0,0.111328125,0.5654296875,0.568359375,0
410,1.0,0.3974609375,0.443359375,0.599609375,0
411,1.0,0.6025390625,0.509765625,0.849609375,0
412,1.0,0.0947265625,0.6650390625,0.9599609375,0
413,1.0,0.3984375,0.4443359375,0.630859375,0
414,1.0,0.7333984375,0.5556640625,0.6279296875,0
415,1.0,0.751953125,0.5283203125,0.7578125,0
416,1.0,0.3046875,0.69921875,0.7392578125,0
417,1.0,0.3876953125,0.7060546875,0.546875,0
418,1.0,0.337890625,0.6826171875,0.66015625,0
419,1.0,0.08203125,0.4892578125,0.955078125,0
420,1.0,0.7548828125,0.5595703125,0.7958984375,0
421,1.0,0.427734375,0.451171875,0.5634765625,0
422,1.0,0.4384765625,0.7255859375,0.6220703125,0
423,1.0,0.3701171875,0.658203125,0.5869140625,0
424,1.0,0.265625,0.666015625,0.5615234375,0
425,1.0,0.48046875,0.5146484375,0.587890625,0
426,1.0,0.359375,0.7529296875,0.5654296875,0
427,1.0,0.4326171875,0.6806640625,0.58203125,0
428,1.0,0.837890625,0.5712890625,0.59765625,0
429,1.0,0.3955078125,0.4248046875,0.578125,0
430,1.0,0.162109375,0.7216796875,0.828125,0
431,1.0,0.6171875,0.498046875,0.8466796875,0
432,1.0,0.1494140625,0.6455078125,0.9755859375,0
433,1.0,0.26171875,0.6162109375,0.583984375,0
434,1.0,0.7578125,0.498046875,0.705078125,0
435,1.0,0.4130859375,0.4833984375,0.599609375,0
436,1.0,0.595703125,0.451171875,0.9931640625,0
437,1.0,0.4267578125,0.43359375,0.5654296875,0
438,1.0,0.3115234375,0.390625,0.9990234375,0
439,1.0,0.298828125,0.5751953125,0.7275390625,0
440,1.0,0.369140625,0.3916015625,0.9951171875,0
441,1.0,0.185546875,0.6044921875,0.693359375,0
442,1.0,0.1220703125,0.7119140625,0.6455078125,0
443,1.0,0.6064453125,0.4677734375,0.9501953125,0
444,1.0,0.099609375,0.5537109375,0.6005859375,0
445,1.0,0.43359375,0.7919921875,0.5908203125,0
446,1.0,0.1025390625,0.6357421875,0.5791015625,0
447,1.0,0.314453125,0.4375,0.8349609375,0
448,1.0,0.3525390625,0.66796875,0.69921875,0
449,1.0,0.3076171875,0.4423828125,0.6884765625,0
450,1.0,0.384765625,0.474609375,0.595703125,0
451,1.0,0.3955078125,0.494140625,0.55859375,0
452,1.0,0.298828125,0.4638671875,0.568359375,0
453,1.0,0.08203125,0.576171875,0.8349609375,0
454,1.0,0.3583984375,0.7236328125,0.5576171875,0
455,1.0,0.166015625,0.6904296875,0.9013671875,0
456,1.0,0.3818359375,0.748046875,0.591796875,0
457,1.0,0.1513671875,0.576171875,0.6650390625,0
458,1.0,0.1953125,0.8408203125,0.7392578125,0
459,1.0,0.2900390625,0.6328125,0.6494140625,0
460,1.0,0.28125,0.7001953125,0.607421875,0
461,1.0,0.7236328125,0.4580078125,0.8837890625,0
462,1.0,0.439453125,0.798828125,0.5859375,0
463,1.0,0.8349609375,0.5439453125,0.6728515625,0
