,output_HSGS,output_encoding_weight,output_encoding_input,output_phase_encoding,target
400,1.0,0.00390625,0.1328125,0.646484375,0
401,1.0,0.4443359375,0.2568359375,0.4345703125,0
402,1.0,0.259765625,0.3779296875,0.2578125,0
403,1.0,0.0185546875,0.072265625,0.9892578125,0
404,1.0,0.7470703125,0.154296875,0.970703125,0
405,1.0,0.0,0.4072265625,0.9921875,0
406,1.0,0.4755859375,0.083984375,0.9296875,0
407,1.0,0.5029296875,0.21484375,0.955078125,0
408,1.0,0.2314453125,0.681640625,0.240234375,0
409,1.0,0.4775390625,0.1484375,0.9169921875,0
410,1.0,0.005859375,0.0283203125,0.884765625,0
411,1.0,0.2333984375,0.0732421875,0.94140625,0
412,1.0,0.7724609375,0.5185546875,0.26953125,0
413,1.0,0.0,0.0107421875,0.9873046875,0
414,1.0,0.5068359375,0.16015625,0.978515625,0
415,1.0,0.4892578125,0.1142578125,0.9921875,0
416,1.0,0.05078125,0.400390625,0.3134765625,0
417,1.0,0.0,0.408203125,0.828125,0
418,1.0,0.005859375,0.3466796875,0.9931640625,0
419,1.0,0.7685546875,0.015625,0.5634765625,0
420,1.0,0.46875,0.158203125,0.9931640625,0
421,1.0,0.048828125,0.0673828125,0.5703125,0
422,1.0,0.0263671875,0.4404296875,0.4267578125,0
423,1.0,0.0,0.384765625,0.943359375,0
424,1.0,0.0390625,0.3525390625,0.919921875,0
425,1.0,0.0556640625,0.1259765625,0.88671875,0
426,1.0,0.0029296875,0.4921875,0.71484375,0
427,1.0,0.0205078125,0.3740234375,0.59765625,0
428,1.0,0.7490234375,0.1708984375,0.787109375,0
429,1.0,0.0029296875,0.0126953125,0.94921875,0
430,1.0,0.39453125,0.48828125,0.294921875,0
431,1.0,0.255859375,0.091796875,0.8798828125,0
432,1.0,0.40625,0.314453125,0.265625,0
433,1.0,0.0419921875,0.2216796875,0.99609375,0
434,1.0,0.478515625,0.0751953125,0.9921875,0
435,1.0,0.005859375,0.0751953125,0.5791015625,0
436,1.0,0.2373046875,0.0087890625,0.5029296875,0
437,1.0,0.0009765625,0.0322265625,0.7666015625,0
438,1.0,0.015625,0.0,0.4560546875,0
439,1.0,0.0390625,0.158203125,0.9501953125,0
440,1.0,0.0009765625,0.029296875,0.59765625,0
441,1.0,0.248046875,0.240234375,0.359375,0
442,1.0,0.4951171875,0.4326171875,0.5595703125,0
443,1.0,0.2421875,0.0341796875,0.67578125,0
444,1.0,0.748046875,0.26953125,0.8251953125,0
445,1.0,0.02734375,0.5224609375,0.5048828125,0
446,1.0,0.7451171875,0.2490234375,0.8857421875,0
447,1.0,0.0234375,0.0,0.7841796875,0
448,1.0,0.0029296875,0.30078125,0.998046875,0
449,1.0,0.0244140625,0.0029296875,0.9990234375,0
450,1.0,0.0078125,0.0771484375,0.8955078125,0
451,1.0,0.0,0.052734375,0.8828125,0
452,1.0,0.025390625,0.0078125,0.7294921875,0
453,1.0,0.75390625,0.1630859375,0.3359375,0
454,1.0,0.0009765625,0.4580078125,0.8740234375,0
455,1.0,0.4326171875,0.3828125,0.251953125,0
456,1.0,0.0,0.4521484375,0.59765625,0
457,1.0,0.4140625,0.111328125,1.0,0
458,1.0,0.2587890625,0.623046875,0.302734375,0
459,1.0,0.041015625,0.2548828125,0.998046875,0
460,1.0,0.0498046875,0.4619140625,0.6904296875,0
461,1.0,0.447265625,0.0400390625,0.8837890625,0
462,1.0,0.0283203125,0.609375,0.49609375,0
463,1.0,0.734375,0.1943359375,0.98828125,0
464,1.0,0.0,0.4228515625,0.6982421875,0
465,1.0,0.228515625,0.5234375,0.24609375,0
466,1.0,0.0224609375,0.5947265625,0.39453125,0
467,1.0,0.001953125,0.48828125,0.8310546875,0
468,1.0,0.26171875,0.0458984375,0.787109375,0
469,1.0,0.7451171875,0.1435546875,0.9833984375,0
470,1.0,0.0498046875,0.689453125,0.439453125,0
471,1.0,0.044921875,0.3818359375,0.919921875,0
472,1.0,0.0625,0.5556640625,0.5966796875,0
473,1.0,0.4365234375,0.2099609375,0.9873046875,0
474,1.0,0.4951171875,0.2958984375,0.607421875,0
475,1.0,0.7646484375,0.2119140625,0.96484375,0
476,1.0,0.2490234375,0.3466796875,0.380859375,0
477,1.0,0.40625,0.142578125,0.9892578125,0
478,1.0,0.7685546875,0.330078125,0.6005859375,0
479,1.0,0.00390625,0.353515625,0.892578125,0
480,1.0,0.4990234375,0.26171875,0.97265625,0
481,1.0,0.025390625,0.60546875,0.2607421875,0
482,1.0,0.0205078125,0.00390625,0.83203125,0
483,1.0,0.00390625,0.5517578125,0.61328125,0
484,1.0,0.0,0.392578125,0.5517578125,0
485,1.0,0.0517578125,0.0966796875,0.8505859375,0
486,1.0,0.025390625,0.4033203125,0.609375,0
487,1.0,0.41796875,0.26171875,0.9990234375,0
488,1.0,0.2265625,0.4306640625,0.3173828125,0
489,1.0,0.7578125,0.205078125,0.65234375,0
490,1.0,0.0,0.03125,0.9873046875,0
491,1.0,0.439453125,0.2578125,0.8525390625,0
492,1.0,0.021484375,0.0,0.7490234375,0
493,1.0,0.4248046875,0.0986328125,0.71484375,0
494,1.0,0.73828125,0.126953125,0.9990234375,0
495,1.0,0.0,0.3076171875,0.873046875,0
496,1.0,0.494140625,0.328125,0.7509765625,0
497,1.0,0.2421875,0.525390625,0.251953125,0
498,1.0,0.75,0.01953125,0.82421875,0
499,1.0,0.0224609375,0.01171875,0.9345703125,0
500,1.0,0.259765625,0.0458984375,0.8798828125,1
501,1.0,0.2509765625,0.009765625,0.6748046875,1
502,1.0,0.2666015625,0.1201171875,0.845703125,1
503,1.0,0.2451171875,0.142578125,0.9599609375,1
504,1.0,0.26171875,0.138671875,0.9716796875,1
505,1.0,0.271484375,0.0673828125,0.9111328125,1
506,1.0,0.2626953125,0.04296875,0.98046875,1
507,1.0,0.2353515625,0.0732421875,0.8935546875,1
508,1.0,0.236328125,0.0205078125,0.576171875,1
509,1.0,0.244140625,0.0244140625,0.615234375,1
510,1.0,0.2373046875,0.146484375,0.9423828125,1
511,1.0,0.251953125,0.0029296875,0.4794921875,1
512,1.0,0.2470703125,0.005859375,0.60546875,1
513,1.0,0.2294921875,0.037109375,0.6962890625,1
514,1.0,0.25390625,0.14453125,0.9951171875,1
515,1.0,0.2236328125,0.1083984375,0.919921875,1
516,1.0,0.234375,0.0029296875,0.5458984375,1
517,1.0,0.23046875,0.021484375,0.5009765625,1
518,1.0,0.248046875,0.1220703125,0.8857421875,1
519,1.0,0.24609375,0.109375,0.87890625,1
520,1.0,0.201171875,0.154296875,0.8984375,1
521,1.0,0.240234375,0.09375,0.892578125,1
522,1.0,0.2314453125,0.1767578125,0.9736328125,1
523,1.0,0.255859375,0.0390625,0.6640625,1
