,model,threshold,accuracy
0,output_encoding_weight,0.25,0.47
1,output_encoding_input,0.5,0.44
2,output_phase_encoding,0.4,0.57
0,output_encoding_weight,0.25,0.48
1,output_encoding_input,0.5,0.42
2,output_phase_encoding,0.4,0.56
0,output_encoding_weight,0.25,0.475
1,output_encoding_input,0.5,0.435
2,output_phase_encoding,0.4,0.565
0,output_encoding_weight,0.25,0.485
1,output_encoding_input,0.5,0.435
2,output_phase_encoding,0.4,0.555
0,output_encoding_weight,0.25,0.505
1,output_encoding_input,0.5,0.43
2,output_phase_encoding,0.4,0.555
0,output_encoding_weight,0.25,0.475
1,output_encoding_input,0.5,0.435
2,output_phase_encoding,0.4,0.565
0,output_encoding_weight,0.25,0.445
1,output_encoding_input,0.5,0.43
2,output_phase_encoding,0.4,0.56
0,output_encoding_weight,0.25,0.48
1,output_encoding_input,0.5,0.43
2,output_phase_encoding,0.4,0.57
0,output_encoding_weight,0.25,0.455
1,output_encoding_input,0.5,0.445
2,output_phase_encoding,0.4,0.555
0,output_encoding_weight,0.25,0.47
1,output_encoding_input,0.5,0.425
2,output_phase_encoding,0.4,0.555
