,model,phase_strategy,bias,threshold,lr,avg_error,trained_weights,initial_weights,neuron_outputs
0,phase-encoding,original,False,0.3,0.02,0.28569999999999995,"[-0.03138259858628383, 0.0907146273621954, 0.2533235427891663, -0.27786993218021055]",0.07630828937395717,"[1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1]"
1,phase-encoding,original,True,0.3,0.02,0.4286,"[-0.07151500711641967, 0.23100048750801433, 0.15477411848861264, -0.18336640774931146, 0.13605277430639284, 0.13605277430639284, 0.13605277430639284, 0.13605277430639284]",0.07630828937395717,"[0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]"
2,phase-encoding,original,False,0.3,0.1,0.28569999999999995,"[-0.34525404278080885, 0.2316049448596942, 0.5018451958008033, -0.4920835612002281]",0.07630828937395717,"[1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1]"
3,phase-encoding,original,True,0.3,0.1,0.4286,"[-0.1305200807092138, 0.35969924180724294, 0.2848750330681934, -0.30064428523805053, 0.07818538498920204, 0.07818538498920204, 0.07818538498920204, 0.07818538498920204]",0.07630828937395717,"[0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]"
4,phase-encoding,original,False,0.5,0.02,0.1429,"[-0.06413149971869939, 0.10682159750868825, 0.2533859582562924, -0.2777789811258732]",0.07630828937395717,"[0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1]"
5,phase-encoding,original,True,0.5,0.02,0.4286,"[-0.21033124725758895, 0.002729107729134154, -0.0747742128139868, -0.23978717674884023, -0.3041038462285541, -0.3041038462285541, -0.3041038462285541, -0.3041038462285541]",0.07630828937395717,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,phase-encoding,original,False,0.5,0.1,0.28569999999999995,"[-0.2698098983659374, 0.3658242308961308, 0.5121219042115237, -0.3821292314186666]",0.07630828937395717,"[1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1]"
7,phase-encoding,original,True,0.5,0.1,0.5713999999999999,"[-0.32807708918302597, -0.17649421476650945, -0.07197534922430456, -0.43076382852337386, -0.5798538736752934, -0.5798538736752934, -0.5798538736752934, -0.5798538736752934]",0.07630828937395717,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
8,phase-encoding,original,False,0.7,0.02,0.28569999999999995,"[-0.08142619432130864, 0.2163648183669368, 0.28395795001588375, -0.22406978243653614]",0.07630828937395717,"[0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1]"
9,phase-encoding,original,True,0.7,0.02,0.4286,"[0.07112619412745999, -0.177623689177567, -0.008739902923968377, -0.28590582674474696, -0.3440763747133291, -0.3440763747133291, -0.3440763747133291, -0.3440763747133291]",0.07630828937395717,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
