model,threshold,accuracy
output_encoding_weight,0.3,0.6060606060606061
output_encoding_input,0.65,0.6363636363636364
output_phase_encoding,0.02,0.5757575757575758
output_encoding_weight,0.3,0.6060606060606061
output_encoding_input,0.65,0.6363636363636364
output_phase_encoding,0.02,0.5757575757575758
output_encoding_weight,0.3,0.6060606060606061
output_encoding_input,0.65,0.6363636363636364
output_phase_encoding,0.02,0.5757575757575758
output_encoding_weight,0.3,0.6060606060606061
output_encoding_input,0.65,0.6363636363636364
output_phase_encoding,0.02,0.5757575757575758
output_encoding_weight,0.3,0.6060606060606061
output_encoding_input,0.65,0.6363636363636364
output_phase_encoding,0.02,0.5757575757575758
output_encoding_weight,0.3,0.6060606060606061
output_encoding_input,0.65,0.6363636363636364
output_phase_encoding,0.02,0.5757575757575758
output_encoding_weight,0.3,0.6060606060606061
output_encoding_input,0.65,0.6363636363636364
output_phase_encoding,0.02,0.5757575757575758
output_encoding_weight,0.3,0.6060606060606061
output_encoding_input,0.65,0.6363636363636364
output_phase_encoding,0.02,0.5757575757575758
output_encoding_weight,0.3,0.6060606060606061
output_encoding_input,0.65,0.6363636363636364
output_phase_encoding,0.02,0.5757575757575758
output_encoding_weight,0.3,0.6060606060606061
output_encoding_input,0.65,0.6363636363636364
output_phase_encoding,0.02,0.5757575757575758
