error,model
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_HSGS
0.3646,error_encoding_weight
0.3646,error_encoding_weight
0.3594,error_encoding_weight
0.3646,error_encoding_weight
0.3594,error_encoding_weight
0.3594,error_encoding_weight
0.3594,error_encoding_weight
0.3646,error_encoding_weight
0.3646,error_encoding_weight
0.3594,error_encoding_weight
0.3646,error_encoding_weight
0.3646,error_encoding_weight
0.3646,error_encoding_weight
0.3646,error_encoding_weight
0.3646,error_encoding_weight
0.3594,error_encoding_weight
0.3594,error_encoding_weight
0.3646,error_encoding_weight
0.3646,error_encoding_weight
0.3594,error_encoding_weight
0.3594,error_encoding_weight
0.3646,error_encoding_weight
0.3594,error_encoding_weight
0.3646,error_encoding_weight
0.3646,error_encoding_weight
0.3646,error_encoding_weight
0.3594,error_encoding_weight
0.3646,error_encoding_weight
0.3646,error_encoding_weight
0.3594,error_encoding_weight
0.3698,error_encoding_weight
0.3646,error_encoding_weight
0.3594,error_encoding_weight
0.3646,error_encoding_weight
0.3646,error_encoding_weight
0.3646,error_encoding_weight
0.3646,error_encoding_weight
0.3594,error_encoding_weight
0.3646,error_encoding_weight
0.3646,error_encoding_weight
0.4375,error_encoding_input
0.4844,error_encoding_input
0.4219,error_encoding_input
0.4427,error_encoding_input
0.4792,error_encoding_input
0.4583,error_encoding_input
0.4167,error_encoding_input
0.4375,error_encoding_input
0.4583,error_encoding_input
0.5104,error_encoding_input
0.4896,error_encoding_input
0.5052,error_encoding_input
0.5312,error_encoding_input
0.4948,error_encoding_input
0.5156,error_encoding_input
0.4792,error_encoding_input
0.4688,error_encoding_input
0.5729,error_encoding_input
0.4792,error_encoding_input
0.5312,error_encoding_input
0.4375,error_encoding_input
0.474,error_encoding_input
0.526,error_encoding_input
0.4896,error_encoding_input
0.4323,error_encoding_input
0.5052,error_encoding_input
0.5365,error_encoding_input
0.4896,error_encoding_input
0.4479,error_encoding_input
0.5052,error_encoding_input
0.5208,error_encoding_input
0.4479,error_encoding_input
0.4948,error_encoding_input
0.4531,error_encoding_input
0.4427,error_encoding_input
0.401,error_encoding_input
0.4583,error_encoding_input
0.4792,error_encoding_input
0.526,error_encoding_input
0.5312,error_encoding_input
0.276,error_classic
0.276,error_classic
0.276,error_classic
0.276,error_classic
0.276,error_classic
0.276,error_classic
0.276,error_classic
0.276,error_classic
0.276,error_classic
0.276,error_classic
0.276,error_classic
0.276,error_classic
0.276,error_classic
0.276,error_classic
0.276,error_classic
0.276,error_classic
0.276,error_classic
0.276,error_classic
0.276,error_classic
0.276,error_classic
0.276,error_classic
0.276,error_classic
0.276,error_classic
0.276,error_classic
0.276,error_classic
0.276,error_classic
0.276,error_classic
0.276,error_classic
0.276,error_classic
0.276,error_classic
0.276,error_classic
0.276,error_classic
0.276,error_classic
0.276,error_classic
0.276,error_classic
0.276,error_classic
0.276,error_classic
0.276,error_classic
0.276,error_classic
0.276,error_classic
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
0.3646,error_classic_bin
