model,threshold,accuracy
output_encoding_weight,0.4,0.6614583333333334
output_encoding_input,0.75,0.6510416666666666
output_phase_encoding,0.05,0.6822916666666666
output_encoding_weight,0.4,0.6614583333333334
output_encoding_input,0.75,0.6510416666666666
output_phase_encoding,0.05,0.6822916666666666
output_encoding_weight,0.4,0.6614583333333334
output_encoding_input,0.75,0.6510416666666666
output_phase_encoding,0.05,0.6822916666666666
output_encoding_weight,0.4,0.6614583333333334
output_encoding_input,0.75,0.6510416666666666
output_phase_encoding,0.05,0.6822916666666666
output_encoding_weight,0.4,0.6614583333333334
output_encoding_input,0.75,0.6510416666666666
output_phase_encoding,0.05,0.6822916666666666
output_encoding_weight,0.4,0.6614583333333334
output_encoding_input,0.75,0.6510416666666666
output_phase_encoding,0.05,0.6822916666666666
output_encoding_weight,0.4,0.6614583333333334
output_encoding_input,0.75,0.6510416666666666
output_phase_encoding,0.05,0.6822916666666666
output_encoding_weight,0.4,0.6614583333333334
output_encoding_input,0.75,0.6510416666666666
output_phase_encoding,0.05,0.6822916666666666
output_encoding_weight,0.4,0.6614583333333334
output_encoding_input,0.75,0.6510416666666666
output_phase_encoding,0.05,0.6822916666666666
output_encoding_weight,0.4,0.6614583333333334
output_encoding_input,0.75,0.6510416666666666
output_phase_encoding,0.05,0.6822916666666666
