model,threshold,accuracy
output_encoding_weight,0.4,0.5833333333333334
output_encoding_input,0.6,0.625
output_phase_encoding,0.35,0.6302083333333334
output_encoding_weight,0.4,0.5833333333333334
output_encoding_input,0.6,0.625
output_phase_encoding,0.35,0.6302083333333334
output_encoding_weight,0.4,0.5833333333333334
output_encoding_input,0.6,0.625
output_phase_encoding,0.35,0.6302083333333334
output_encoding_weight,0.4,0.5833333333333334
output_encoding_input,0.6,0.625
output_phase_encoding,0.35,0.6302083333333334
output_encoding_weight,0.4,0.5833333333333334
output_encoding_input,0.6,0.625
output_phase_encoding,0.35,0.6302083333333334
output_encoding_weight,0.4,0.5833333333333334
output_encoding_input,0.6,0.625
output_phase_encoding,0.35,0.6302083333333334
output_encoding_weight,0.4,0.5833333333333334
output_encoding_input,0.6,0.625
output_phase_encoding,0.35,0.6302083333333334
output_encoding_weight,0.4,0.5833333333333334
output_encoding_input,0.6,0.625
output_phase_encoding,0.35,0.6302083333333334
output_encoding_weight,0.4,0.5833333333333334
output_encoding_input,0.6,0.625
output_phase_encoding,0.35,0.6302083333333334
output_encoding_weight,0.4,0.5833333333333334
output_encoding_input,0.6,0.625
output_phase_encoding,0.35,0.6302083333333334
