,model,threshold,accuracy
0,output_encoding_weight,0.55,0.905
1,output_encoding_input,0.25,0.5
2,output_phase_encoding,0.75,0.815
0,output_encoding_weight,0.55,0.905
1,output_encoding_input,0.25,0.5
2,output_phase_encoding,0.75,0.815
0,output_encoding_weight,0.55,0.905
1,output_encoding_input,0.25,0.5
2,output_phase_encoding,0.75,0.815
0,output_encoding_weight,0.55,0.905
1,output_encoding_input,0.25,0.5
2,output_phase_encoding,0.75,0.81
0,output_encoding_weight,0.55,0.905
1,output_encoding_input,0.25,0.5
2,output_phase_encoding,0.75,0.815
0,output_encoding_weight,0.55,0.905
1,output_encoding_input,0.25,0.5
2,output_phase_encoding,0.75,0.81
0,output_encoding_weight,0.55,0.905
1,output_encoding_input,0.25,0.5
2,output_phase_encoding,0.75,0.81
0,output_encoding_weight,0.55,0.905
1,output_encoding_input,0.25,0.5
2,output_phase_encoding,0.75,0.815
0,output_encoding_weight,0.55,0.905
1,output_encoding_input,0.25,0.5
2,output_phase_encoding,0.75,0.8
0,output_encoding_weight,0.55,0.905
1,output_encoding_input,0.25,0.5
2,output_phase_encoding,0.75,0.815
