error,model
0.5,error_HSGS
0.5,error_HSGS
0.5,error_HSGS
0.5,error_HSGS
0.5,error_HSGS
0.5,error_HSGS
0.5,error_HSGS
0.5,error_HSGS
0.5,error_HSGS
0.5,error_HSGS
0.16,error_encoding_weight
0.16,error_encoding_weight
0.165,error_encoding_weight
0.165,error_encoding_weight
0.175,error_encoding_weight
0.165,error_encoding_weight
0.16,error_encoding_weight
0.165,error_encoding_weight
0.165,error_encoding_weight
0.165,error_encoding_weight
0.52,error_encoding_input
0.525,error_encoding_input
0.49,error_encoding_input
0.49,error_encoding_input
0.525,error_encoding_input
0.54,error_encoding_input
0.5,error_encoding_input
0.48,error_encoding_input
0.495,error_encoding_input
0.53,error_encoding_input
0.225,error_phase_encoding
0.225,error_phase_encoding
0.225,error_phase_encoding
0.23,error_phase_encoding
0.225,error_phase_encoding
0.22,error_phase_encoding
0.225,error_phase_encoding
0.215,error_phase_encoding
0.22,error_phase_encoding
0.225,error_phase_encoding
