,output_HSGS,output_encoding_weight,output_encoding_input,output_phase_encoding
0,1.0,0.4091796875,0.556640625,0.5830078125
1,1.0,0.1337890625,0.650390625,0.6796875
2,1.0,0.1806640625,0.662109375,0.8681640625
3,1.0,0.318359375,0.51171875,0.732421875
4,1.0,0.83203125,0.55859375,0.6650390625
5,1.0,0.39453125,0.6923828125,0.6259765625
6,1.0,0.1162109375,0.5283203125,0.783203125
7,1.0,0.12109375,0.5810546875,0.69140625
8,1.0,0.1826171875,0.8349609375,0.7724609375
9,1.0,0.12890625,0.576171875,0.587890625
10,1.0,0.4033203125,0.44921875,0.5810546875
11,1.0,0.6279296875,0.50390625,0.8388671875
12,1.0,0.109375,0.671875,0.9365234375
13,1.0,0.412109375,0.4296875,0.6328125
14,1.0,0.7470703125,0.5546875,0.640625
15,1.0,0.7109375,0.525390625,0.787109375
16,1.0,0.28125,0.6875,0.7314453125
17,1.0,0.384765625,0.7138671875,0.55078125
18,1.0,0.3603515625,0.66015625,0.6806640625
19,1.0,0.09765625,0.484375,0.9404296875
20,1.0,0.7548828125,0.580078125,0.7861328125
21,1.0,0.484375,0.4462890625,0.595703125
22,1.0,0.4287109375,0.7236328125,0.6044921875
23,1.0,0.3740234375,0.6943359375,0.5859375
24,1.0,0.2890625,0.6591796875,0.546875
25,1.0,0.4677734375,0.5185546875,0.595703125
26,1.0,0.34765625,0.7568359375,0.5810546875
27,1.0,0.4423828125,0.6767578125,0.572265625
28,1.0,0.8505859375,0.568359375,0.5947265625
29,1.0,0.41015625,0.4267578125,0.5986328125
30,1.0,0.1435546875,0.705078125,0.822265625
31,1.0,0.6318359375,0.5029296875,0.837890625
32,1.0,0.1552734375,0.6474609375,0.9814453125
33,1.0,0.2919921875,0.611328125,0.6376953125
34,1.0,0.7509765625,0.453125,0.7109375
35,1.0,0.3935546875,0.541015625,0.583984375
36,1.0,0.634765625,0.427734375,0.9990234375
37,1.0,0.400390625,0.4208984375,0.5703125
38,1.0,0.3046875,0.4365234375,0.998046875
39,1.0,0.2841796875,0.5693359375,0.744140625
40,1.0,0.3779296875,0.400390625,0.9970703125
41,1.0,0.1875,0.6484375,0.69140625
