,model,threshold,accuracy
0,output_encoding_weight,0.35,0.5909090909090909
1,output_encoding_input,0.7,0.5606060606060606
2,output_phase_encoding,0.8,0.5909090909090909
0,output_encoding_weight,0.35,0.6060606060606061
1,output_encoding_input,0.7,0.5151515151515151
2,output_phase_encoding,0.8,0.5454545454545454
0,output_encoding_weight,0.35,0.6060606060606061
1,output_encoding_input,0.7,0.5303030303030303
2,output_phase_encoding,0.8,0.5606060606060606
0,output_encoding_weight,0.35,0.6060606060606061
1,output_encoding_input,0.7,0.5454545454545454
2,output_phase_encoding,0.8,0.5757575757575758
0,output_encoding_weight,0.35,0.5757575757575758
1,output_encoding_input,0.7,0.5303030303030303
2,output_phase_encoding,0.8,0.5909090909090909
0,output_encoding_weight,0.35,0.6060606060606061
1,output_encoding_input,0.7,0.5454545454545454
2,output_phase_encoding,0.8,0.5454545454545454
0,output_encoding_weight,0.35,0.6363636363636364
1,output_encoding_input,0.7,0.5606060606060606
2,output_phase_encoding,0.8,0.5757575757575758
0,output_encoding_weight,0.35,0.6060606060606061
1,output_encoding_input,0.7,0.5454545454545454
2,output_phase_encoding,0.8,0.5757575757575758
0,output_encoding_weight,0.35,0.5909090909090909
1,output_encoding_input,0.7,0.5303030303030303
2,output_phase_encoding,0.8,0.5757575757575758
0,output_encoding_weight,0.35,0.6060606060606061
1,output_encoding_input,0.7,0.5606060606060606
2,output_phase_encoding,0.8,0.5757575757575758
