model,threshold,accuracy
output_encoding_weight,0.35,0.6060606060606061
output_encoding_input,0.85,0.5303030303030303
output_phase_encoding,0.4,0.5606060606060606
output_encoding_weight,0.35,0.6060606060606061
output_encoding_input,0.85,0.5303030303030303
output_phase_encoding,0.4,0.5606060606060606
output_encoding_weight,0.35,0.6060606060606061
output_encoding_input,0.85,0.5303030303030303
output_phase_encoding,0.4,0.5606060606060606
output_encoding_weight,0.35,0.6060606060606061
output_encoding_input,0.85,0.5303030303030303
output_phase_encoding,0.4,0.5606060606060606
output_encoding_weight,0.35,0.6060606060606061
output_encoding_input,0.85,0.5303030303030303
output_phase_encoding,0.4,0.5606060606060606
output_encoding_weight,0.35,0.6060606060606061
output_encoding_input,0.85,0.5303030303030303
output_phase_encoding,0.4,0.5606060606060606
output_encoding_weight,0.35,0.6060606060606061
output_encoding_input,0.85,0.5303030303030303
output_phase_encoding,0.4,0.5606060606060606
output_encoding_weight,0.35,0.6060606060606061
output_encoding_input,0.85,0.5303030303030303
output_phase_encoding,0.4,0.5606060606060606
output_encoding_weight,0.35,0.6060606060606061
output_encoding_input,0.85,0.5303030303030303
output_phase_encoding,0.4,0.5606060606060606
output_encoding_weight,0.35,0.6060606060606061
output_encoding_input,0.85,0.5303030303030303
output_phase_encoding,0.4,0.5606060606060606
