,model,epoch,value
0,angle,0,1
1,angle,1,1
2,angle,2,1
3,angle,3,1
4,angle,4,1
5,angle,5,1
6,angle,6,1
7,angle,7,1
8,angle,8,0
9,angle,9,2
10,angle,10,1
11,angle,11,1
12,angle,12,2
13,angle,13,1
14,angle,14,1
15,angle,15,2
16,angle,16,1
17,angle,17,1
18,angle,18,1
19,angle,19,2
20,angle,20,1
21,angle,21,1
22,angle,22,2
23,angle,23,1
24,angle,24,1
25,angle,25,1
26,angle,26,2
27,angle,27,1
28,angle,28,1
29,angle,29,1
30,angle,30,1
31,angle,31,1
32,angle,32,1
33,angle,33,1
34,angle,34,2
35,angle,35,1
36,angle,36,1
37,angle,37,2
38,angle,38,1
39,angle,39,1
40,angle,40,1
41,angle,41,2
42,angle,42,1
43,angle,43,1
44,angle,44,2
45,angle,45,1
46,angle,46,1
47,angle,47,1
48,angle,48,2
49,angle,49,1
50,angle,50,1
51,angle,51,1
52,angle,52,1
53,angle,53,1
54,angle,54,1
55,angle,55,2
56,angle,56,1
57,angle,57,1
58,angle,58,1
59,angle,59,2
60,radius,0,2
61,radius,1,2
62,radius,2,2
63,radius,3,2
64,radius,4,2
65,radius,5,2
66,radius,6,2
67,radius,7,2
68,radius,8,2
69,radius,9,2
70,radius,10,2
71,radius,11,2
72,radius,12,2
73,radius,13,2
74,radius,14,2
75,radius,15,2
76,radius,16,2
77,radius,17,2
78,radius,18,2
79,radius,19,2
80,radius,20,2
81,radius,21,2
82,radius,22,2
83,radius,23,2
84,radius,24,2
85,radius,25,2
86,radius,26,2
87,radius,27,2
88,radius,28,2
89,radius,29,2
90,radius,30,2
91,radius,31,2
92,radius,32,2
93,radius,33,2
94,radius,34,2
95,radius,35,2
96,radius,36,2
97,radius,37,2
98,radius,38,2
99,radius,39,2
100,radius,40,2
101,radius,41,2
102,radius,42,2
103,radius,43,2
104,radius,44,2
105,radius,45,2
106,radius,46,2
107,radius,47,2
108,radius,48,2
109,radius,49,2
110,radius,50,2
111,radius,51,2
112,radius,52,2
113,radius,53,2
114,radius,54,2
115,radius,55,2
116,radius,56,2
117,radius,57,2
118,radius,58,2
119,radius,59,2
