,model,phase_strategy,bias,threshold,lr,avg_error,trained_weights,initial_weights,neuron_outputs
0,HSGS,original,False,0.1,0.02,0.0,"[0.4384092314408935, 0.7234651778309412]",0.4384092314408935,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]"
1,HSGS,original,True,0.1,0.02,0.75,"[0.8384092314408939, 1.1234651778309415, 1.4000000000000004, 1.4000000000000004]",0.4384092314408935,"[0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1]"
2,HSGS,original,False,0.1,0.1,0.0,"[0.4384092314408935, 0.7234651778309412]",0.4384092314408935,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]"
3,HSGS,original,True,0.1,0.1,0.75,"[2.4384092314408945, 2.7234651778309424, 3.0000000000000018, 3.0000000000000018]",0.4384092314408935,"[0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1]"
4,HSGS,original,False,0.3,0.02,0.0,"[0.4384092314408935, 0.7234651778309412]",0.4384092314408935,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]"
5,HSGS,original,True,0.3,0.02,0.25,"[0.8384092314408939, 1.1234651778309415, 0.5999999999999996, 0.5999999999999996]",0.4384092314408935,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0]"
6,HSGS,original,False,0.3,0.1,0.0,"[0.4384092314408935, 0.7234651778309412]",0.4384092314408935,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]"
7,HSGS,original,True,0.3,0.1,0.25,"[0.5384092314408936, 0.8234651778309412, -1.0999999999999999, -1.0999999999999999]",0.4384092314408935,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
8,HSGS,original,False,0.5,0.02,0.0,"[0.4384092314408935, 0.7234651778309412]",0.4384092314408935,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]"
9,HSGS,original,True,0.5,0.02,0.25,"[0.8384092314408939, 1.1234651778309415, 0.5999999999999996, 0.5999999999999996]",0.4384092314408935,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0]"
10,HSGS,original,False,0.5,0.1,0.0,"[0.4384092314408935, 0.7234651778309412]",0.4384092314408935,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]"
11,HSGS,original,True,0.5,0.1,0.25,"[0.5384092314408936, 0.8234651778309412, -1.0999999999999999, -1.0999999999999999]",0.4384092314408935,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
12,HSGS,original,False,0.7,0.02,0.0,"[0.4384092314408935, 0.7234651778309412]",0.4384092314408935,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]"
