model,threshold,accuracy
output_encoding_weight,0.1,1.0
output_encoding_input,0.1,1.0
output_phase_encoding,0.95,0.55
output_encoding_weight,0.1,1.0
output_encoding_input,0.1,1.0
output_phase_encoding,0.95,0.55
output_encoding_weight,0.1,1.0
output_encoding_input,0.1,1.0
output_phase_encoding,0.95,0.55
output_encoding_weight,0.1,1.0
output_encoding_input,0.1,1.0
output_phase_encoding,0.95,0.55
output_encoding_weight,0.1,1.0
output_encoding_input,0.1,1.0
output_phase_encoding,0.95,0.55
output_encoding_weight,0.1,1.0
output_encoding_input,0.1,1.0
output_phase_encoding,0.95,0.55
output_encoding_weight,0.1,1.0
output_encoding_input,0.1,1.0
output_phase_encoding,0.95,0.55
output_encoding_weight,0.1,1.0
output_encoding_input,0.1,1.0
output_phase_encoding,0.95,0.55
output_encoding_weight,0.1,1.0
output_encoding_input,0.1,1.0
output_phase_encoding,0.95,0.55
output_encoding_weight,0.1,1.0
output_encoding_input,0.1,1.0
output_phase_encoding,0.95,0.55
