error,model
0.6354,error_HSGS
0.6354,error_HSGS
0.6354,error_HSGS
0.6354,error_HSGS
0.6354,error_HSGS
0.6354,error_HSGS
0.6354,error_HSGS
0.6354,error_HSGS
0.6354,error_HSGS
0.6354,error_HSGS
0.6354,error_encoding_weight
0.6354,error_encoding_weight
0.6354,error_encoding_weight
0.6354,error_encoding_weight
0.6354,error_encoding_weight
0.6354,error_encoding_weight
0.6354,error_encoding_weight
0.6354,error_encoding_weight
0.6354,error_encoding_weight
0.6354,error_encoding_weight
0.6354,error_encoding_input
0.6354,error_encoding_input
0.6354,error_encoding_input
0.6354,error_encoding_input
0.6354,error_encoding_input
0.6354,error_encoding_input
0.6354,error_encoding_input
0.6354,error_encoding_input
0.6354,error_encoding_input
0.6354,error_encoding_input
0.6354,error_classic
0.6354,error_classic
0.6354,error_classic
0.6354,error_classic
0.6354,error_classic
0.6354,error_classic
0.6354,error_classic
0.6354,error_classic
0.6354,error_classic
0.6354,error_classic
0.6354,error_classic_bin
0.6354,error_classic_bin
0.6354,error_classic_bin
0.6354,error_classic_bin
0.6354,error_classic_bin
0.6354,error_classic_bin
0.6354,error_classic_bin
0.6354,error_classic_bin
0.6354,error_classic_bin
0.6354,error_classic_bin
