error,model
0.5556,error_HSGS
0.5556,error_HSGS
0.6296,error_HSGS
0.4815,error_HSGS
0.4074,error_HSGS
0.2222,error_HSGS
0.5556,error_HSGS
0.4444,error_HSGS
0.6296,error_HSGS
0.4815,error_HSGS
0.5926,error_HSGS
0.3704,error_HSGS
0.4444,error_HSGS
0.4444,error_HSGS
0.4444,error_HSGS
0.4815,error_HSGS
0.5556,error_HSGS
0.3333,error_HSGS
0.4815,error_HSGS
0.4815,error_HSGS
0.3333,error_encoding_weight
0.3333,error_encoding_weight
0.3333,error_encoding_weight
0.3333,error_encoding_weight
0.3333,error_encoding_weight
0.3333,error_encoding_weight
0.3333,error_encoding_weight
0.3333,error_encoding_weight
0.3333,error_encoding_weight
0.3333,error_encoding_weight
0.3333,error_encoding_weight
0.3333,error_encoding_weight
0.3333,error_encoding_weight
0.3333,error_encoding_weight
0.3333,error_encoding_weight
0.3333,error_encoding_weight
0.3333,error_encoding_weight
0.3333,error_encoding_weight
0.3333,error_encoding_weight
0.3333,error_encoding_weight
0.5185,error_encoding_input
0.5556,error_encoding_input
0.4074,error_encoding_input
0.5926,error_encoding_input
0.6296,error_encoding_input
0.4074,error_encoding_input
0.4444,error_encoding_input
0.5556,error_encoding_input
0.4815,error_encoding_input
0.4074,error_encoding_input
0.6296,error_encoding_input
0.4815,error_encoding_input
0.5185,error_encoding_input
0.5185,error_encoding_input
0.2593,error_encoding_input
0.4444,error_encoding_input
0.5185,error_encoding_input
0.5185,error_encoding_input
0.4815,error_encoding_input
0.4074,error_encoding_input
0.3333,error_classic
0.3333,error_classic
0.3333,error_classic
0.3333,error_classic
0.3333,error_classic
0.3333,error_classic
0.3333,error_classic
0.3333,error_classic
0.3333,error_classic
0.3333,error_classic
0.3333,error_classic
0.3333,error_classic
0.3333,error_classic
0.3333,error_classic
0.3333,error_classic
0.3333,error_classic
0.3333,error_classic
0.3333,error_classic
0.3333,error_classic
0.3333,error_classic
0.1852,error_classic_bin
0.1852,error_classic_bin
0.1852,error_classic_bin
0.1852,error_classic_bin
0.1852,error_classic_bin
0.1852,error_classic_bin
0.1852,error_classic_bin
0.1852,error_classic_bin
0.1852,error_classic_bin
0.1852,error_classic_bin
0.1852,error_classic_bin
0.1852,error_classic_bin
0.1852,error_classic_bin
0.1852,error_classic_bin
0.1852,error_classic_bin
0.1852,error_classic_bin
0.1852,error_classic_bin
0.1852,error_classic_bin
0.1852,error_classic_bin
0.1852,error_classic_bin
