,output_HSGS,output_encoding_weight,output_encoding_input,output_phase_encoding,target
0,1.0,0.2607421875,0.69140625,0.8857421875,0
1,1.0,0.5458984375,0.7587890625,0.931640625,0
2,1.0,0.4140625,0.638671875,0.8896484375,0
3,1.0,0.150390625,0.6328125,0.77734375,0
4,1.0,0.3505859375,0.70703125,0.9775390625,0
5,1.0,0.3671875,0.599609375,0.9013671875,0
6,1.0,0.3662109375,0.69921875,0.8974609375,0
7,1.0,0.271484375,0.6259765625,0.7666015625,0
8,1.0,0.544921875,0.68359375,0.7958984375,0
9,1.0,0.3603515625,0.7373046875,0.8916015625,0
10,1.0,0.27734375,0.673828125,0.7822265625,0
11,1.0,0.3125,0.6669921875,0.9443359375,0
12,1.0,0.3544921875,0.7109375,0.966796875,0
13,1.0,0.4443359375,0.6484375,0.7666015625,0
14,1.0,0.5078125,0.5986328125,1.0,0
15,1.0,0.4560546875,0.755859375,0.9873046875,0
16,1.0,0.4404296875,0.734375,1.0,0
17,1.0,0.3828125,0.728515625,1.0,0
18,1.0,0.2685546875,0.7294921875,0.7919921875,0
19,1.0,0.3994140625,0.6826171875,0.9150390625,0
20,1.0,0.4560546875,0.78515625,0.9384765625,0
21,1.0,0.4814453125,0.7578125,0.84765625,0
22,1.0,0.5234375,0.724609375,0.9658203125,0
23,1.0,0.3203125,0.8017578125,0.9091796875,0
24,1.0,0.2626953125,0.67578125,0.822265625,0
25,1.0,0.2763671875,0.6953125,0.822265625,0
26,1.0,0.3583984375,0.724609375,0.8447265625,0
27,1.0,0.375,0.7060546875,0.9970703125,0
28,1.0,0.357421875,0.7333984375,0.8505859375,0
29,1.0,0.3515625,0.6689453125,0.841796875,0
30,1.0,0.4375,0.6298828125,0.986328125,0
31,1.0,0.3388671875,0.65234375,0.998046875,0
32,1.0,0.349609375,0.6884765625,0.91015625,0
33,1.0,0.4375,0.662109375,0.9443359375,0
34,1.0,0.2197265625,0.6484375,0.7861328125,0
35,1.0,0.337890625,0.748046875,0.986328125,0
36,1.0,0.2587890625,0.6953125,0.9755859375,0
37,1.0,0.369140625,0.640625,0.8935546875,0
38,1.0,0.3388671875,0.6171875,0.865234375,0
39,1.0,0.4189453125,0.6494140625,0.98828125,0
40,1.0,0.5576171875,0.6240234375,0.8740234375,0
41,1.0,0.4794921875,0.7099609375,1.0,0
42,1.0,0.359375,0.7041015625,0.923828125,0
43,1.0,0.2412109375,0.650390625,0.7578125,0
44,1.0,0.4814453125,0.7138671875,0.8671875,0
45,1.0,0.3779296875,0.6650390625,0.99609375,0
46,1.0,0.34765625,0.7509765625,0.97265625,0
47,1.0,0.376953125,0.7412109375,0.8798828125,0
48,1.0,0.23828125,0.7158203125,0.9931640625,0
49,1.0,0.3564453125,0.6513671875,0.833984375,0
50,1.0,0.154296875,0.5673828125,0.7744140625,0
51,1.0,0.228515625,0.6318359375,0.779296875,0
52,1.0,0.3515625,0.6884765625,0.892578125,0
53,1.0,0.435546875,0.630859375,0.8818359375,0
54,1.0,0.4453125,0.779296875,0.890625,0
55,1.0,0.5595703125,0.791015625,0.9990234375,0
56,1.0,0.482421875,0.71875,0.92578125,0
57,1.0,0.3662109375,0.671875,0.9013671875,0
58,1.0,0.3720703125,0.70703125,0.9609375,0
59,1.0,0.431640625,0.6123046875,0.99609375,0
60,1.0,0.376953125,0.6845703125,0.80859375,0
61,1.0,0.51953125,0.6796875,0.9921875,0
62,1.0,0.267578125,0.69921875,0.99609375,0
63,1.0,0.42578125,0.712890625,0.87890625,0
64,1.0,0.47265625,0.76953125,0.9970703125,0
65,1.0,0.3583984375,0.7177734375,0.904296875,0
66,1.0,0.3779296875,0.7138671875,0.80078125,0
67,1.0,0.34765625,0.69140625,0.830078125,0
68,1.0,0.4609375,0.7978515625,0.8134765625,0
69,1.0,0.4560546875,0.697265625,0.888671875,0
70,1.0,0.5654296875,0.7021484375,0.875,0
71,1.0,0.470703125,0.7314453125,0.8798828125,0
72,1.0,0.478515625,0.744140625,0.86328125,0
73,1.0,0.474609375,0.7099609375,1.0,0
74,1.0,0.3203125,0.677734375,0.9873046875,0
75,1.0,0.46484375,0.69921875,0.9482421875,0
76,1.0,0.470703125,0.703125,1.0,0
77,1.0,0.4365234375,0.708984375,0.935546875,0
78,1.0,0.3369140625,0.658203125,0.8701171875,0
79,1.0,0.2919921875,0.6572265625,0.958984375,0
80,1.0,0.236328125,0.693359375,0.9931640625,0
81,1.0,0.2421875,0.748046875,0.845703125,0
82,1.0,0.3154296875,0.75,0.8525390625,0
83,1.0,0.16796875,0.6591796875,0.9404296875,0
84,1.0,0.3505859375,0.6591796875,0.826171875,0
85,1.0,0.34375,0.751953125,0.9599609375,0
86,1.0,0.5302734375,0.79296875,0.9609375,0
