error,model
0.5,error_HSGS
0.5,error_HSGS
0.5,error_HSGS
0.5,error_HSGS
0.5,error_HSGS
0.5,error_HSGS
0.5,error_HSGS
0.5,error_HSGS
0.5,error_HSGS
0.5,error_HSGS
0.19,error_encoding_weight
0.185,error_encoding_weight
0.19,error_encoding_weight
0.19,error_encoding_weight
0.19,error_encoding_weight
0.185,error_encoding_weight
0.185,error_encoding_weight
0.195,error_encoding_weight
0.2,error_encoding_weight
0.19,error_encoding_weight
0.555,error_encoding_input
0.52,error_encoding_input
0.535,error_encoding_input
0.495,error_encoding_input
0.465,error_encoding_input
0.53,error_encoding_input
0.48,error_encoding_input
0.515,error_encoding_input
0.5,error_encoding_input
0.485,error_encoding_input
0.62,error_phase_encoding
0.61,error_phase_encoding
0.615,error_phase_encoding
0.62,error_phase_encoding
0.625,error_phase_encoding
0.61,error_phase_encoding
0.61,error_phase_encoding
0.61,error_phase_encoding
0.615,error_phase_encoding
0.62,error_phase_encoding
