model,phase_strategy,bias,threshold,lr,avg_error,trained_weights,initial_weights,neuron_outputs
phase-encoding,original,False,0.7,0.02,0.0,"[-1.1771834632037688, 0.9626079731921684, 2.712794022122595, 0.013788545117439075]","[0.6778165367962301, 0.27000797319216485, 0.7351940221225949, 0.9621885451174382]","[0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0]"
phase-encoding,original,False,0.8,0.1,0.0,"[-5.953999999999988, 7.02400000000001, 9.976999999999986, -3.5759999999999947]","[0.5, 0.5, 0.5, 0.5]","[0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0]"
phase-encoding,angleradius,False,0.3,0.1,0.0,"[0.935721157810749, 5.321908468092902, 11.972679171853086, -1.3349601389999521, 5.153296050600325, -5.275191872400957]",0.4384092314408935,"[0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0]"
phase-encoding,original,False,0.8,0.02,0.0,"[-1.1785999999999992, 1.281599999999996, 2.4338, -0.4884000000000003]","[0.5, 0.5, 0.5, 0.5]","[0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0]"
phase-encoding,original,False,0.7,0.1,0.0,"[-9.214183463203758, 3.662007973192159, 10.263194022122576, -3.323811454882558]","[0.6778165367962301, 0.27000797319216485, 0.7351940221225949, 0.9621885451174382]","[0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0]"
phase-encoding,angleradius,False,0.3,0.02,0.0,"[1.084461116133697, 2.269019704464578, 4.661406853139644, 0.09440267403327615, 2.7819392514930676, -1.3587296794723827]","[0.5, 0.5, 0.5, 0.5]","[0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0]"
phase-encoding,angleradius,False,0.7,0.1,0.1429,"[-5.55612904891175, -3.0267920035741054, 9.917466560057209, -1.2337276237075634, -5.742493766924091, -1.8747789364339364]",0.7799187922401146,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0]"
phase-encoding,radius,False,0.8,0.02,0.1429,"[-0.26893380262679695, -0.09706141646546519, -0.28363142892819476, -0.2807479557046033]",0.7799187922401146,"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
phase-encoding,radius,False,0.8,0.1,0.1429,"[-0.4296180157821289, -0.16509487743467088, -0.4689897462987679, -0.491399857954533]",0.4384092314408935,"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
phase-encoding,angleradius,False,0.7,0.02,0.1429,"[-1.0438457393859, 0.006463399830508414, 2.205814624194311, 0.3343789634289833, -0.35179654418069195, 0.5332309539988654]",0.0763082893739571,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0]"
